Streifen,GI_251007,GI_251201,GI_260304,MGRVI_260304,MGRVI_COLOR_260304,GI_260306,MGRVI_260306,MGRVI_COLOR_260306,GI_251203,MGRVI_251203,MGRVI_COLOR_251203,MGRVI_251201,MGRVI_COLOR_251201
ABAlterObstgarten 130,,0.4448079096316658,,,,,,#94a3b8,,,,0.21037484336648135,#4ade80
ABAlterObstgarten 14,,0.4535022918416219,,,,0.3852601145278846,0.0397375779820114,#a3e635,,,,0.2485443715892473,#4ade80
ABAlterObstgarten 15,,0.4738040909445914,,,,0.3977191679054336,0.0686268985723689,#a3e635,,,,0.31801357884584025,#4ade80
ABAlterObstgarten 16,,0.4731872325301417,,,,0.3786527604619416,-0.020657670347003,#eab308,,,,0.3011639846163703,#4ade80
ABAlterObstgarten 17,,0.36610652373944125,,,,0.3442359682063931,-0.0631027090253628,#eab308,,,,-0.1021957426387289,#eab308
ABAlterObstgarten 18,,0.3861836822286084,,,,0.3512160828008172,-0.035163352250156,#eab308,,,,0.01995284046174841,#a3e635
ABAlterObstgarten 19,,0.3577338187213183,,,,0.3365553794135079,-0.0714542757368178,#eab308,,,,-0.08838246016010887,#eab308
ABAlterObstgarten 20,,0.4239745414197453,,,,0.3339613649663548,-0.0665685874151223,#eab308,,,,0.19165057383137504,#a3e635
ABAlterObstgarten 21,,0.37943790464809507,,,,0.3368133086250656,-0.0644225321962914,#eab308,,,,-0.05355000902038676,#eab308
ABAlterObstgarten 22,,0.41119627079247445,,,,0.3354752635798784,-0.0862912645645382,#eab308,,,,0.0894986066984284,#a3e635
ABAlterObstgarten 23,,0.3791495587542526,,,,0.3365605135883955,-0.0874107586791816,#eab308,,,,0.019058760246999724,#a3e635
ABAlterObstgarten 24,,0.3770956476322326,,,,0.3387795046168583,-0.081233509045931,#eab308,,,,0.009703534298189955,#a3e635
ABAlterObstgarten 25,,0.33788259344762334,,,,0.3314505857104641,-0.0802601025896233,#eab308,,,,-0.14515145173185623,#eab308
ABAlterObstgarten 26,,0.38507308909255555,,,,0.390485157852052,0.1528527068094363,#a3e635,,,,0.10117949503595787,#a3e635
ABAlterObstgarten 27,,0.3446586105869055,,,,0.3495633189189258,-0.0034413409585774,#eab308,,,,-0.09233522906266704,#eab308
ABAlterObstgarten 28,,0.4189753105773206,,,,0.4129996389770979,0.1754194628145859,#a3e635,,,,0.13826848142579654,#a3e635
ABAlterObstgarten 29,,0.3365741457060504,,,,0.3488910894854081,-0.0066658496085231,#eab308,,,,-0.11175562580254314,#eab308
ABAlterObstgarten 30,,0.33248033751175665,,,,0.34740022965042,-0.0116151883033433,#eab308,,,,-0.1394997100439443,#eab308
ABAlterObstgarten 31,,0.3366650858661578,,,,0.3529785861492127,0.0044703073915722,#a3e635,,,,-0.10661088761443184,#eab308
ABAlterObstgarten 32,,0.34837303065957237,,,,0.3503585583274197,-0.0077283125505104,#eab308,,,,-0.08267328077127212,#eab308
ABAlterObstgarten 33,,0.33675642513557236,,,,0.3606360750774208,0.0253190583529949,#a3e635,,,,-0.11699867272712625,#eab308
ABAlterObstgarten 34,,0.34574005598438573,,,,0.350212158870697,-0.0092706186421025,#eab308,,,,-0.08085960005102297,#eab308
ABAlterObstgarten 35,,0.3504829107778126,,,,0.3383806193935211,-0.0686161401710605,#eab308,,,,-0.09241010031790438,#eab308
ABAlterObstgarten 36,,0.32608262285011325,,,,0.3377025342013471,-0.0400506628096829,#eab308,,,,-0.13719233427525937,#eab308
ABAlterObstgarten 37,,0.32866689021892437,,,,0.3440092077025282,-0.0321343637124494,#eab308,,,,-0.1286209054200126,#eab308
ABAlterObstgarten 38,,0.35040456327425024,,,,0.3297916137967315,-0.1156635245519611,#eab308,,,,-0.0065115912159550236,#eab308
ABAlterObstgarten 39,,0.3288165689525781,,,,0.3402774418106355,-0.05012280524865,#eab308,,,,-0.12736091383276588,#eab308
ABAlterObstgarten 40,,0.32943769423653035,,,,0.3434959910135935,-0.0392283413134409,#eab308,,,,-0.12211543283338155,#eab308
ABAlterObstgarten 41,,0.3963476444352448,,,,0.3362341159345502,-0.069986071393242,#eab308,,,,0.09870748254011381,#a3e635
ABAlterObstgarten 42,,0.3918374497784807,,,,0.3361448379898712,-0.0732704738097069,#eab308,,,,0.07954498890014432,#a3e635
ABAlterObstgarten 43,,0.3729751693783504,,,,0.3318616338397959,-0.0740748131136109,#eab308,,,,0.06485641146020092,#a3e635
